BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
128,8192,8,True,45.60000076889992,19.360000267624855,33.08799862861633,17.823999747633934,31.775999814271927,15.39199985563755
256,8192,8,True,59.487998485565186,26.91200003027916,48.895999789237976,23.48800003528595,42.49599948525429,21.15200087428093
512,8192,8,True,85.24800091981888,42.59200021624565,56.063998490571976,35.26400029659271,52.15999856591225,32.48000144958496
1024,8192,8,True,124.1919994354248,73.34399968385696,76.60800218582153,59.167999774217606,74.27199929952621,55.16799911856651
2048,8192,8,True,216.12800657749176,135.55200397968292,116.60800129175186,106.33599758148193,118.75200271606445,100.44799745082855
4096,8192,8,True,363.74399065971375,259.2639923095703,201.34399831295013,200.57600736618042,203.5840004682541,189.66400623321533
8192,8192,8,True,692.7679777145386,504.92799282073975,379.2000114917755,389.0880048274994,377.85598635673523,369.9840009212494
16384,8192,8,True,1351.3920307159424,995.136022567749,720.79998254776,766.0800218582153,717.8559899330139,728.9599776268005
32768,8192,8,True,2639.807939529419,1964.735984802246,1399.00803565979,1505.8560371398926,1387.8719806671143,1446.6240406036377
64,8192,16,True,34.33600068092346,15.32800029963255,27.615999802947044,15.231999568641186,26.784000918269157,12.736000120639801
128,8192,16,True,45.951999723911285,19.392000511288643,33.440001308918,17.59999990463257,32.03200176358223,15.552000142633915
256,8192,16,True,60.095999389886856,28.255999088287354,49.27999898791313,23.423999547958374,43.10400038957596,21.215999498963356
512,8192,16,True,85.24800091981888,43.90399903059006,56.32000043988228,35.10399907827377,52.44800075888634,32.92800113558769
1024,8192,16,True,124.51200187206268,74.40000027418137,77.05599814653397,58.59199911355972,73.88799637556076,55.26399984955788
2048,8192,16,True,216.67200326919556,135.3919953107834,117.21599847078323,106.33599758148193,118.97599697113037,100.60799866914749
4096,8192,16,True,362.39999532699585,257.1200132369995,202.4639993906021,198.59200716018677,203.61599326133728,189.7280067205429
8192,8192,16,True,692.7040219306946,500.60802698135376,378.27199697494507,383.7440013885498,376.96000933647156,370.2720105648041
16384,8192,16,True,1347.040057182312,988.2240295410156,719.4880247116089,754.2080283164978,714.8159742355347,728.9280295372009
32768,8192,16,True,2638.400077819824,1958.143949508667,1398.2399702072144,1491.6479587554932,1385.6639862060547,1445.95205783844
64,8192,32,True,34.272000193595886,15.104000456631184,27.68000029027462,15.00799972563982,26.87999978661537,12.736000120639801
128,8192,32,True,45.56800052523613,19.519999623298645,33.08799862861633,17.535999417304993,31.74399957060814,15.519999898970127
256,8192,32,True,59.29600074887276,31.328000128269196,48.767998814582825,23.32800067961216,42.55999997258186,21.023999899625778
512,8192,32,True,84.95999872684479,47.87199944257736,56.063998490571976,34.912001341581345,52.191998809576035,32.76799991726875
1024,8192,32,True,124.41600114107132,78.33600044250488,76.60800218582153,58.30400064587593,73.91999661922455,55.32800033688545
2048,8192,32,True,213.1199985742569,140.09599387645721,116.73600226640701,104.51199859380722,118.97599697113037,100.70399940013885
4096,8192,32,True,363.20000886917114,261.50399446487427,202.04800367355347,197.7279931306839,203.64800095558167,189.66400623321533
8192,8192,32,True,695.9360241889954,505.9199929237366,379.58401441574097,381.8559944629669,377.1840035915375,369.79201436042786
16384,8192,32,True,1355.8080196380615,996.6400265693665,720.736026763916,749.343991279602,717.2799706459045,728.1919717788696
32768,8192,32,True,2638.400077819824,1967.4880504608154,1398.4960317611694,1485.4719638824463,1387.1999979019165,1445.1199769973755
